Demographic,Platform,Weeks,Curve Frequency,Frequency Cap,Key,  A  , B , C , Potential 
P18-44,Nine Now,3 Weeks,oneplus,0,P18-44Nine Now3 Weeksoneplus0,1676055.536,2334.55,-0.55,9700000
P18-44,Ten Play,3 Weeks,oneplus,0,P18-44Ten Play3 Weeksoneplus0,793344.0666,1945.46,-0.55,9700000
P18-44,Seven Plus,3 Weeks,oneplus,0,P18-44Seven Plus3 Weeksoneplus0,569236.874,1945.46,-0.55,9700000
P18-44,SBS On Demand,3 Weeks,oneplus,0,P18-44SBS On Demand3 Weeksoneplus0,480389.893,1750.91,-0.55,9700000
P18-44,Kayo,3 Weeks,oneplus,0,P18-44Kayo3 Weeksoneplus0,1493820.048,1984.36,-0.55,9700000
P18-44,Foxtel Go,3 Weeks,oneplus,0,P18-44Foxtel Go3 Weeksoneplus0,609813.3835,1945.46,-0.55,9700000
P18-44,Binge,3 Weeks,oneplus,0,P18-44Binge3 Weeksoneplus0,343423.562,2334.55,-0.55,9700000
P18-44,Netflix,3 Weeks,oneplus,0,P18-44Netflix3 Weeksoneplus0,573849.9175,1945.46,-0.82,9700000
P18-44,Optus Sport,3 Weeks,oneplus,0,P18-44Optus Sport3 Weeksoneplus0,573849.9175,1945.46,-0.9,9700000
P18-44,Amazon Prime,3 Weeks,oneplus,0,P18-44Amazon Prime3 Weeksoneplus0,1399340.26,1945.46,-0.8,9700000
